,商品名,商品説明,価格,URL,画像URL,出品者
94,"MacBook Pro 13-inch, 2020，Intel，USキーボード","中古品、USキーボードです。
新品で購入しましたが、ほとんど使ってません。
目立った傷汚れありません。
動作正常です。

充放電回数 12回
状態：正常

付属品、箱ありません。

MacBook Pro  13-inch, 2020, Four Thunderbolt 3 ports  
ブロセッサ 2GHzクアッドコアIntel  Core i5  グラフィックス Intel lris Plus Graphics 1536  MB  メモリ 16 GB 3733 MHz  LPDDR4X  
SSD 512GB

即決歓迎です。他の方が交渉中であっても即決していただいて構いません。あくまで中古品ですので、神経質な方はご遠慮下さい。

シリーズ...Macbook Pro

ディスプレイサイズ...13インチ

Pro/モデル名...2020

Pro/モデル名...Mid 2019

仕上げ...スペースグレイ","74,000",https://jp.mercari.com/item/m50796572249,https://static.mercdn.net/item/detail/orig/photos/m50796572249_1.jpg?1717098067,シュート
95,MacBook Pro 2020 13インチ　8GB【充電コード付】,"外部ディスプレイ、修理推奨

ディスプレイ接触故障？
奥側の充電口接触不良

があります。


ディスプレイは画像でもわかる通り
ライトを照らさないと使えないレベル。
逆に何かで照らすと普段通り操作できます。

矢印がどこにいるかわからなくなるのが
ストレスなので出品いたしました。

充電口は1度検査してもらった際は
異常なしでした。
ただついたりつかなかったりします。
基本手前側しか使っておりませんでした。

ご自身で修理できる方
外部ディスプレイを使いの方はおすすめです。
カスタマーサポートにお電話したところ
ディスプレイのなにかが接触不良なのではないかと
修理を勧められました。

機械関係にあまり詳しくないので
神経質な方はご遠慮お願いします。
また何かご質問などあればよろしくお願いします。


シリーズ···Macbook Pro

サイズ···13インチ

Mac OS…sonoma14.5

CPU···M1

メモリ···8GB

ストレージ…245GB

その他特徴···ジャンク

CPU···M1","55,000",https://jp.mercari.com/item/m33719030939,https://static.mercdn.net/item/detail/orig/photos/m33719030939_1.jpg?1716300036,ミッキーランナー
96,MacBookPro 2020 13inch 美品,"MacBook Pro (13-inch, 2020, Thunderbolt 3ポートx 4）シルバー

2020年5月にAmazonで新品購入いたしました。
あまり使用していなかったので美品だと思います。
特に目立った傷や汚れはございませんが
中古品と考慮の上ご検討お願いいたします。

512GBSSD 16GBメモリ
2.0Ghz クアッドコアIntel Core i5
Thunderbolt3ポート×4
Touch Bar
バッテリー 正常
充放電回数 55
（初期化のため数回増えるかもしれません）
動作確認しましたが正常に動いております。

付属品はACアダプター、USB-Cケーブル、箱、説明書です。（同梱されていたもの全て）
初期化、OSの再インストールを行い工場出荷状態にて発送させていただきます。

シリーズ···Macbook Pro
サイズ···13インチ
CPU···Intel Core i5
メモリ···16GB
ストレージ種類···SSD
ストレージ容量···512GB","76,000",https://jp.mercari.com/item/m28561249126,https://static.mercdn.net/item/detail/orig/photos/m28561249126_1.jpg?1716104717,atari
97,Macbook Pro 2020 13インチ 16GB 256GB 付属品未使用,"大幅値下げしました！

Macbook pro 2020 13インチ Core i5 US配列

付属品未使用です。Anker PowerExpand もおまけでつけます。

■内容 
1_本体 (13インチ, メモリ16GB, SSD 256GB, Core i5, US配列キーボード)
2_充電ケーブル (未使用)
3_充電器  (未使用)
4_説明書類
5_箱
6_おまけ Anker PowerExpand+ 7-in-1 (中古完動品。新品6500円程度)

■使用履歴
2020年 Appleでの購入品です。新たにPCを購入したためお譲りします。主に仕事以外で使用していました

■状態
- 動作、外見は良好です。詳細な状態は出品画像でご確認ください
- 充放電回数やその他詳細は画像を確認ください
- アクセサリは未使用です
- 背面にスタンドを付けていたので少し焼けがあります

■ちょっとコメント
メモリを16GBに増強しているので、ブラウジングしながら複数のアプリも動かせます。次の方にもぜひ楽しんでいただけたらなと思います。

■仕様
...Intel Core i5プロセッサ（Turbo Boost使用時最大3.9GHz）
...Intel Iris Plus Graphics 645
...16GB 2,133MHz LPDDR3メモリ
...256GB SSDストレージ
...True Tone搭載13インチRetinaディスプレイ
...Thunderbolt 3ポート x 2
...Touch BarとTouch ID
...PRO APPS 065-C171 NONE
...SW LOGIC PRO X 065-C172 NONE
...バックライトMagic Keyboard - 英語（米国）
...アクセサリキット

■留意事項
- 初期化して OS を再インストールした状態で発送します
- バッテリーはフル充電して発送します
- あくまで中古品になります。外見等少しでも気になる点がありましたらお控えいただくと良いかと思います

シリーズ...Macbook Pro
サイズ...13インチ
CPU...Intel Core i5
メモリ...16GB
ストレージ種類...256GB","72,900",https://jp.mercari.com/item/m14595270526,https://static.mercdn.net/item/detail/orig/photos/m14595270526_1.jpg?1715037243,Ken-desu
98,557) Apple MacBook Pro 13インチ 2020 -512GB,"557) Apple MacBook Pro 13インチ 2020 Core i5 2.0GHz/RAM16GB/SSD512GB(140557)

多少の擦れ・小傷がございます品です。
キーボードは一部に多少のテカリがございます。
底面にカバー装着時に付いてしまった色褪せがございます。

初期化済みでOSは最新版のMac OS 14.5 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。
動作確認のため下記の情報で初期化後に一度セットアップしております。

ユーザー名：USER
パスワード：1234

出品物は本体のみです。ACアダプターは別途ご用意ください。
USB TYPE-C接続です。

バッテリーは「正常」表示で充放電回数 720回で完全充電時の容量は4179mAhです。

＊バッテリーは出品掲載時の情報となります。出荷までにステータスや回数が変更となる可能性がございます。消耗部品につき保証対象外とさせていただいております。
＊液晶表示につきましては経年劣化による若干の色ムラ・照度ムラがある場合がございます。

商品到着後3日間を初期不良期間として対応させて頂きます。
底面に一箇所セキュリティシールを貼っております。剥がした場合は保証対応出来ませんので、動作確認が済むまで剥がさないようにご注意ください。

【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14.5  Sonoma
■CPU：Core i5 2.0GHz 
■SSD：フラッシュストレージ 512GB
■メモリ：16GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 日本語（JIS）配列 （バックライト付き）
■カラー：スペースグレイ

＊ご希望があれば下記のOfficeソフトをインストールして出荷させて頂きます。
LibreOffice（リブレオフィス）

Microsoft Office と互換性のあるオフィスソフトです。
Word/Excel/Powerpoint/Accessファイルを互換使用可能です。","66,700",https://jp.mercari.com/item/m27394344293,https://static.mercdn.net/item/detail/orig/photos/m27394344293_1.jpg?1716009530,mainn_1234
99,MacBook Pro 2020 Core i7 32GB 1TB 13インチ,"2021年にApple Storeで新品購入し、Adobeを使った画像・動画編集、DTM等に使用していました。
現状最後のintel Macで、13インチモデルの中では最高スペックです。

外部ディスプレイ、外部キーボード&マウスを繋いでデスクトップ状態で使用していた為、外には一度も持ち出していません。
また、充放電回数も58回のみです。
本体のキーボードやトラックパッドも殆ど使用していない為問題なく正常機能します。

付属品も全て揃っています。

【システム構成】 
・第10世代の2.3GHzクアッドコアIntel Core i7プロセッサ（Turbo Boost使用時最大4.1GHz）
・True Tone搭載13インチRetinaディスプレイ
・Touch BarとTouch ID
・Intel Iris Plus Graphics
・32GB 3,733MHz LPDDR4Xメモリ
・1TB SSDストレージ
・Thunderbolt 3ポート x 4
・バックライトMagic Keyboard - 日本語（JIS）

【付属】
・純正充電器
・純正TYPE-C充電コード2m
・説明書やロゴシール等
・箱

【状態】
ディスプレイの下部1箇所とフレームに擦り傷のようなものがありますが、(写真参照)使用中は殆ど目立ちません。

【バッテリー情報】
充放電回数:58
状態:正常

-
以下検索用

Macbook Pro 13インチ 2020 32GB 1TB

MacBook Pro (Retinaディスプレイ, 13-inch, 2020, Four Thunderbolt 3 ports) スペースグレイ MWP42J/A

シリーズ···Macbook Pro
サイズ···13.3インチ
CPU···Intel Core i7
メモリ···32GB
ストレージ...1TB
カラー/仕上げ...スペースグレイ","89,000",https://jp.mercari.com/item/m59949816728,https://static.mercdn.net/item/detail/orig/photos/m59949816728_1.jpg?1719305265,大福
100,MacBook Pro 2020 13インチ 16GB 512GB Intel,"Apple Store で約20.7万円で新品購入した後、主に自宅内で使用していました。買い換えに伴う出品です。動作確認後、初期化済みです。

全体的にはきれいな状態ですが、外装にいくつか傷が塗装の剥がれがあるため、写真を確認してください。
・外側の天板にいくつかの傷や小さい凹みがあります。
・スピーカーグリルの塗装に剥がれがある部分があります。

本体・USB-C電源アダプタ・USB-Cケーブル・外箱が付属します。

シリーズ...MacBook Pro
世代...2020 (4 Thunderbolt ポート)
サイズ...13インチ
CPU...Intel Core i5
メモリ...16 GB
ストレージ種類...SSD 512 GB
キーボード...US 配列
バッテリー...正常 (280サイクル)
Apple Diagnostics...問題なし","73,800",https://jp.mercari.com/item/m99962907703,https://static.mercdn.net/item/detail/orig/photos/m99962907703_1.jpg?1714825601,たろう
101,MacBook Pro M1 13インチ 256GB （2020）,"MacBook Pro M1 13インチ 256GB （2020）

61w充電器付き（使用済み 汚れあり）

バッテリー
　充放電回数　151
　状態　正常
　最大容量87%

2021年に購入しました。
機種変更した為売却します。

比較的綺麗ですが、細かいキズ等ありますので、
ご了承ください。

USB-Cコードは付属しません。


シリーズ···Macbook Pro

サイズ···13インチ

CPU···M1

メモリ···8GB

256GB SSD","85,500",https://jp.mercari.com/item/m19181754221,https://static.mercdn.net/item/detail/orig/photos/m19181754221_1.jpg?1712403935,馬の王子様
102,644)Apple MacBook Pro 13インチ 2020 Core i5,"644) Apple MacBook Pro 13インチ 2020 Core i5 1.4GHz/RAM8GB/SSD256GB(140644)

多少の擦れ・小傷がございます品です。
キーボードは一部に若干のテカリがございます程度です。

初期化済みでOSは最新版のMac OS 14 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。
動作確認のため下記の情報で初期化後に一度セットアップしております。
到着後、電源を入れればすぐにお使いいただける状態です。

ユーザー名：USER
パスワード：1234


バッテリーは「正常」表示、充放電回数 74回、完全充電時の容量は4392Ahです。

＊バッテリー情報は撮影時の情報になります。お届けまでにステータスや回数・容量等が変更となる場合がございます。バッテリーにつきましては消耗部品につき保証対象外となりますので予めご了承願います。
＊液晶につきましては経年劣化による多少の色ムラ・照度ムラ等が有る場合がございます。

出品物は本体と純正ACアダプター充電器、汎用品のUSB-Cケーブルです。

商品到着後3日間を初期不良期間として対応させて頂きます。
底面に一箇所セキュリティシールを貼っております。剥がした場合は保証対応出来ませんので、動作確認が済むまで剥がさないようにご注意ください。

【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14.5  Sonoma
■CPU：Core i5 1.4GHz 
■SSD：フラッシュストレージ 256GB
■メモリ：8GB
■グラフィック：Intel Iris Plus Graphics 645
■キーボード ： 日本語（JIS）配列 （バックライト付き）
■カラー：シルバー

＊ご希望があれば下記のOfficeソフトをインストールして出荷させて頂きます。
LibreOffice（リブレオフィス）

Microsoft Office と互換性のあるオフィスソフトです。
Word/Excel/Powerpoint/Accessファイルを互換使用可能です。","56,800",https://jp.mercari.com/item/m40033282369,https://static.mercdn.net/item/detail/orig/photos/m40033282369_1.jpg?1717731736,mainn_1234
103,MacBook Pro 13インチ (2020),"シリーズ···Macbook Pro

ディスプレイサイズ···13インチ

Pro/モデル名···2020

仕上げ···スペースグレイ

メモリ…16GB

ストレージ…1TB

プロセッサ…2GHz クアッドコアIntel Core i5

買い替えするので出品します。
画面はガラスコーティング付きで傷はありません。
ほぼ持ち歩きませんでしたが本体背面に細かく薄いすり傷があります（写真15.16青丸参照）
直近まで使用しており、マイクやカメラなども問題ありません。

一緒に使っていたハブも同梱します（写真参照）","76,500",https://jp.mercari.com/item/m10768805926,https://static.mercdn.net/item/detail/orig/photos/m10768805926_1.jpg?1723531881,あんこ
104,MacBook Pro 13インチ　2020 16GB/1TB,"MacBook Pro (13インチ, 2020, Thunderbolt 3ポート x 4)


MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports)
プロセッサ 2.3GHz クアッドコアIntel Core 17
メモリ 16 GB 3733 MHz LPDDR4X
グラフィックス Intel Iris Plus Graphics 1536 MB

ストレージ1TB

画面シール貼ってます。
ケースお付けします。
付属品充電コード、箱ございます。","84,000",https://jp.mercari.com/item/m78991691150,https://static.mercdn.net/item/detail/orig/photos/m78991691150_1.jpg?1718198042,vv
105,MacBook Pro 2020 13インチ 16GB 512GB,"取引評価→悪いが多い方
                  評価0の方
トラブルを避けたいのでご購入ご遠慮ください。

目立った傷や汚れはありませんが
通常使用によるスレ等はございます。
(お写真ご確認ください)
中古品ですので神経質な方はご購入ご遠慮ください。

シリーズ:  Macbook Pro Intel
ディスプレイサイズ:  13インチ
Pro/モデル名:  2020
色:  スペースグレイ
製品年式:  2020
CPU種類:  2.0GHzクアッドコア Intel Core i5
メモリ:  16GB
SSD容量:  512GB
充放電回数:  196 (出品時)
完全充電時の容量:  4178 (出品時)
状態:  正常
備品:  箱(凹み有り).充電器
状態:  簡易動作確認及び初期化済み


購入者様都合でのキャンセルはいかなる場合でも
対応いたしかねますのでご了承お願い致します。


    ","72,999",https://jp.mercari.com/item/m28819150713,https://static.mercdn.net/item/detail/orig/photos/m28819150713_1.jpg?1720496655,ウチワラボ/オーダー停止中
106,Apple MacBook Pro 2020 16G 512G,"MacBook Pro (13-inch, 2020, Thunderbolt 3ポート×4)
Apple Certified Refurbished
型番：A2251
Intel Iris Plus Graphics 1536MB
CPU：2GHz クアッドコア Intel Core i5
メモリ：16GB 3733MHz LPDDR4X
ストレージ：512GB
macOS：Sonoma
キーボード：日本語配列

付属品は全て揃っております。
目立った傷等はありませんが、中古であることをご理解の上ご購入のほどよろしくお願いいたします。","82,000",https://jp.mercari.com/item/m18884026564,https://static.mercdn.net/item/detail/orig/photos/m18884026564_1.jpg?1717220344,bkapemg
107,MacBook Pro 13inch 2020,"即決可

シリーズ···Macbook Pro

サイズ···13インチ

CPU···Intel Core i5



メモリ···16GB

ストレージ種類···SSD

ストレージ容量···512GB

本体のみとなります。","63,000",https://jp.mercari.com/item/m18348413944,https://static.mercdn.net/item/detail/orig/photos/m18348413944_1.jpg?1716087307,えむ
108,超美品 MacBookPro 2020 Core i7 16G SSD 512G,"超美品 MacBook Pro 2020 Core i7 16G SSD 512G

メーカー名: Apple
型番: Retina MacBookPro 2020 シルバー
CPU: 2.3GHzクアッドコア第10世代Intel Core i7（Turbo Boost使用時最大4.1GHz）
メモリ: 16GB LPDDR4X-3733MHz
ストレージ(SSD): AppleSSD 512G
グラフィックス: Intel Iris Plus Graphics 1536 MB
画面サイズ: Retina 13.3ワイド (解像度: 2560 x 1600ドット)
Wifi: Wifi内蔵
Webカメラ: カメラ内蔵
キーボード: USKEY
Touch Bar: あり
Touch ID: あり
アクティベーションロック解除済み

OSバージョン: macOS Sequoia 15 / Windows 11 Pro 64bit

Apple mac OS & Microsoft Windows 11 Proが使用出来ます。Mac＆Windowsを切り替えて使用できます。Windows 11 Pro は仮想マシンとしてMacOSの下に稼働しているために、再起動せずにWindowsをご利用いただけます。

Mac Office 2021 & Windows Office 2021
-Word
-Excel
-PowerPoint
-OutLook

FinalCutPro X 10.8
Logic Pro X 11
Compressor 4.8
Motion 5.8
MainStage3 v3.6.6
ソフトウェアは全て認証済みですので、届いてからすぐにお使い頂けます。

付属品:
Apple ACアダプター
内蔵バッテリー (充放電回数: 25 回)

中古超美品です！動作確認済みです。
液晶は傷なく、発色も綺麗な状態です。
液晶コーティング剥もありません。

キーボード、バームレストとも綺麗な状態で、文字消えがありません。
細かい傷などがある場合はご容赦下さい。
中古品というご理解がある方のみ入札をお願いいたします。","84,000",https://jp.mercari.com/item/m53882770554,https://static.mercdn.net/item/detail/orig/photos/m53882770554_1.jpg?1728378943,Koro
109,012) MacBook Pro 13インチ 2020 i7-32GB-1TB,"2020年 高速大容量!! 012) Apple MacBook Pro 13インチ 2020 Core i7 2.3GHz/RAM32GB/SSD1TB(141012)

多少の擦れ・傷・軽い打痕等がございます品です。
キーボードは一部に若干のテカリがございます程度です。
初期化済みでOSは最新版のMac OS 14.5 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。
動作確認のため下記の情報で初期化後に一度セットアップしております。
到着後、電源を入れればすぐにお使いいただける状態です。

ユーザー名：USER
パスワード：1234

出品物は本体と純正61ｗACアダプター、ケーブルです。

バッテリーは「正常」表示、充放電回数 290回、完全充電時の容量 4426mAhです。

＊バッテリーは出品掲載時の情報となります。出荷までにステータスや回数が変更となる可能性がございます。消耗部品につき保証対象外とさせていただいております。
＊液晶表示につきましては経年劣化による若干の色ムラ・照度ムラがある場合がございます。

商品到着後3日間を初期不良期間として対応させて頂きます。
底面に一箇所セキュリティシールを貼っております。剥がした場合は保証対応出来ませんので、動作確認が済むまで剥がさないようにご注意ください。


【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14.5 Sonoma
■CPU：Core i7-2.3GHz
■SSD：フラッシュストレージ 1TB
■メモリ：32GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 日本語（JIS）配列 （バックライト付き）

＊ご希望があれば下記のOfficeソフトをインストールして出荷させて頂きます。
LibreOffice（リブレオフィス）

Microsoft Office と互換性のあるオフィスソフトです。
Word/Excel/Powerpoint/Accessファイルを互換使用可能です。","76,000",https://jp.mercari.com/item/m77926379612,https://static.mercdn.net/item/detail/orig/photos/m77926379612_1.jpg?1724383586,mainn_1234
110,MacBook Pro 2020 13インチ　16gb 512ssd,"仕上げ···スペースグレイ

Macbook Pro 2020 13インチです。
・CPU ： Intel Core i5
・メモリ ：16 GB 3733 MHz 
グラフィックス：Intel Iris Plus Graphics G7 1536 MB
・ストレージ ： 512GBのPCleベース SSD
・ディスプレイ：2560x1600

Thunderbolt 3ポート×４

Touch Bar と Touch ID

バッテリー: 66回 正常

ソフトウェアされているものは全て正常に使えます","65,000",https://jp.mercari.com/item/m91835453819,https://static.mercdn.net/item/detail/orig/photos/m91835453819_1.jpg?1719992352,能登谷
111,MacBook Pro (13inch，2020),"３年ほど前に購入し、数回程度使用しましたが、
不要の為、出品致します。

動作に問題はありません。

MacBook Pro (Retinaディスプレイ, 13-inch, 2020, Two Thunderbolt 3 ports) スペースグレイ MXK52J/A

#Apple


ディスプレイ インチ···13

ストレージ種類···SSD

メモリ···8GB

OS···Mac OS

ストレージ種類···HDD

ストレージ種類···SSD","73,000",https://jp.mercari.com/item/m55592565642,https://static.mercdn.net/item/detail/orig/photos/m55592565642_1.jpg?1707701608,オッキー
112,"◆ジャンク品・本体のみ◆Apple MacBook Pro (13インチ, 2020, Thunderbolt 3ポート x 4)【i5・16GB・512GB】★キー外れ A2251 EMC3348/LT-JUNK-240726（158332）","★★★ACアダプタ（充電器）なしの商品です！！！！★★★

★★★★★★★★★★★★★★★★★★★

ジャンク品としての出品です。

記載以外にも不具合がある可能性がございます。
ジャンク品のため、商品詳細の個別問合せについてはご返答いたしかねます。

ご理解いただける方のみご購入ください。

★★★★★★★★★★★★★★★★★★★

ローカルにてユーザーアカウント[ user ] を作成済みです。
ログインパスワード：1111

★★★★★★★★★★★★★★★★★★★

★キー外れあり
★パームレスト部色褪せ
★画面キズ（キーボード痕含む）あり
★中古品のため、キズ・汚れあり
のため、ジャンク品として出品いたします。

あくまでジャンク品でございますため、
【起動しない可能性がある】ことを含め、ご検討ください。
部品どりなどにどうぞ！

写真および説明文で状態をご確認の上、
ジャンク品であることをご理解いただける方のみご検討ください。
※写真に写しきれていないキズや汚れもございます。ご了承ください。

【 値下げ不可　値下げ交渉のご連絡はご返信いたしかねます】

■モデル
MacBookPro16,2
A2251
EMC 3348

■商品検査
弊社内にて業務用ソフトウェアにて検査済み

■商品仕様
商品詳細につきましては画像にてご確認ください。
なお、バッテリーにつきましては撮影時の情報となり、
到着時には多少低下している場合がございます。

技術仕様ページ/Technical Specifications
https://support.apple.com/kb/SP819?locale=ja_JP

※キーボードについて
英字キーボード/日本語キーボードのいずれかについては
必ず画像にてご確認ください。

■同梱物
なし

■状態
ジャンク品（記載のない不具合が生じる可能性あり/キズ・汚れあり）

■注意点
・商品詳細に関しましては公式ＨＰよりご覧ください。
・中古品とご理解いただける方のみご購入ください。
・お値引き等は受け付けておりません。
・起動確認しておりますが、お客様の環境での動作保証は出来かねます。
・複数商品をご注文時、同梱不可の場合はご注文後すぐに取引メッセージにてご連絡ください。
　ご連絡が当店で確認できない場合は、複数商品を同梱にて発送する場合がございます。
・返品特約につきましては、随時更新しておりますので
　必ず随時 ご購入前にご確認ください。
・多店舗販売を行っておりますため、ご注文のタイミングによりましては
　在庫不足のため、キャンセルとさせていただく場合がございます。
　予めご了承ください。

■発送
・佐川急便 宅配便　による発送になります。（追跡番号有り）

■対応可能時間
平日のみ
10:00 ? 16:30
上記日時以外は発送やご連絡の対応は出来かねますのでご了承ください。
（土日祝は対応不可）

ノートパソコン　ノートPC　Laptop　ラップトップ　Macbook　マックブック","51,800",https://jp.mercari.com/shops/product/DXaifKkJAmdyHstUFktAaZ,https://assets.mercari-shops-static.com/-/large/plain/zTJ6r6hRdekMmuobYXEmMK.jpg@jpg,プロフ必読★refurcom/リファコム
113,934) MacBook Pro 13インチ 2020 i7-32GB-1TB,"2020年 高速大容量!! 934) Apple MacBook Pro 13インチ 2020 Core i7 2.3GHz/RAM32GB/SSD1TB(140934)

ご覧いただきありがとうございます。
丁寧な対応を心掛けますので、どうぞ宜しくお願い致します。

多少の擦れ・小傷がございます品です。
キーボードは一部に若干のテカリがございます程度です。
液晶面表面に一か所点状の小さな傷があります。
初期化済みでOSは最新版のMac OS 14.5 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。

出品物は本体と純正61ｗACアダプター、ケーブルです。

バッテリーは「正常」表示、充放電回数 185回、完全充電時の容量 4385mAhです。

＊バッテリーは出品掲載時の情報となります。出荷までにステータスや回数が変更となる可能性がございます。消耗部品につき保証対象外とさせていただいております。
＊液晶表示につきましては経年劣化による若干の色ムラ・照度ムラがある場合がございます。

商品到着後3日間を初期不良期間として対応させて頂きます。

【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14.5 Sonoma
■CPU：Core i7-2.3GHz
■SSD：フラッシュストレージ 1TB
■メモリ：32GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 英語（US）配列 （バックライト付き）
■カラー：スペースグレイ","77,800",https://jp.mercari.com/item/m86405128706,https://static.mercdn.net/item/detail/orig/photos/m86405128706_1.jpg?1723011649,mainn_1234
114,Macbook Pro 2020 13インチ A2251 32GB 1TB,"ご覧いただきありがとうございます。

---
☆2020年Intel上位CTOモデル、USB-C：4口、USキー配列です。
　(M1モデルではありません。)
★外観・画面：目立つキズはなく、全体的にきれいです。
★バッテリー：充電80回程度
★動作：全機能動作確認済です。

▶モデル　(メーカ/型名/モデル番号/部品番号/色/キー配列)
Apple / MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports) CTO / A2251 /  / シルバー / US
(発売日：2020/5/4)

▶概略仕様
CPU：Core i7 2.3GHz (第10世代4コア)　(CTO)
メモリ：32GB　(CTO)
SSD：1TB

▶商品状態
□外観：※以下はあくまでも主観です。詳細は写真にてご確認ください。
・外装カバー：
　・トップ(天板)：リンゴに若干の小傷
　・ボトム(底板)：目立つキズなし
・キーボード：少しテカリあり
・トラックパッド：テカリなし
・液晶画面：1箇所あまり目立たないキズ・痕なし・剥げなし
□バッテリー：充放電回数80回
□動作：全機能・画面正常　(独自検査にて確認済)
□Apple保証：対象外(AppleCare＋未加入)

▶付属品…写真の通り、箱なし
・61W USB-C電源アダプタ
・USB-C充電ケーブル(2m)　※細かいキズあり

▶初期状態
・SSD初期化、OSインストール済
※OS：macOS Sonoma
→初期設定から開始してください。

※英語キーボード

★梱包★
配送時は、新品の段ボールにパソコンをプチプチで丁寧に包装し、エアー緩衝材でパソコンを上下から優しく包み込み厳重に梱包して発送いたします

神経質な方はお断りしています","80,000",https://jp.mercari.com/item/m35956905204,https://static.mercdn.net/item/detail/orig/photos/m35956905204_1.jpg?1728956160,ぷぷぷ
115,MacBook pro 13inch 2020 8GB/512GB,"MacBook pro 13inch 2020

シリーズ···Macbook Pro
サイズ···13インチ
CPU···Intel Core i5
メモリ···16GB
ストレージ種類···SSD
ストレージ容量···512GB

◻︎付属品
純正充電器

・2020年5月頃に購入し、大学のレポート作成等で使用していました。
新しいPC購入のため出品しました。

・動作には問題ありません。

・新品購入時の箱はありません。

※傷汚れは少ないですが、あくまで中古品ということをご理解の上、ご購入をお願いいたします。","65,000",https://jp.mercari.com/item/m61003494904,https://static.mercdn.net/item/detail/orig/photos/m61003494904_1.jpg?1715693482,しぶ
116,MacBook Pro 2020 13inch i5 16+512GB US配列,"※購入前にコメントおねがいいたします

2020年に購入し、4年間使用したが、新しいmacbookを購入したため出品します。

US配列でTouchbar付きのモデルですので予めご了承ください。

機能は全て正常だと思います。スクリーン周りとケーブル両端のゴムが少し老化したこと以外に傷はありません。

付属品は写真に載せたものが全部です。箱と一緒に発送いたします。

シリーズ...Macbook Pro

ディスプレイサイズ...13インチ

Pro/モデル名...2020

仕上げ...スペースグレイ","70,000",https://jp.mercari.com/item/m72219055233,https://static.mercdn.net/item/detail/orig/photos/m72219055233_1.jpg?1725000702,Bill Stark
117,MacBook Pro 2020(intelモデル),"高校2年間使い、その後買い替えたまま自宅保管していたものです。

本体、電源アダプタ共に動作検証済みです。

何かご不明な点があれば、お気軽にお問い合わせください。


【スペース詳細】
シリーズ···Macbook Pro

サイズ···13インチ

CPU···Intel Core i7

メモリ···16GB

ストレージ種類···SSD

ストレージ容量···512GB","78,000",https://jp.mercari.com/item/m65941416278,https://static.mercdn.net/item/detail/orig/photos/m65941416278_1.jpg?1716633986,Haku
118,Macbook Pro 2020 13インチ Intel Core i7,"2020年に購入し使用していました。初期化など行うため充放電回数など画像と多少合わないところが出てくる可能性があります。使用には一切問題ありませんが、よく画像をご確認の上ご購入ください。

シリーズ···Macbook Pro

サイズ···13インチ

CPU···Intel Core i7

メモリ···32GB

ストレージ種類···SSD

ストレージ容量···1TB

シリーズ···Macbook Pro

サイズ···13インチ

CPU···Intel Core i7

メモリ···32GB

ストレージ種類···SSD

ストレージ容量···1TB","80,000",https://jp.mercari.com/item/m91928223166,https://static.mercdn.net/item/detail/orig/photos/m91928223166_1.jpg?1716124308,ㅤ
